design_id,target,pae_interaction,iptm,plddt_binder,pass
tfr1_l50_s546651_mpnn12,6WRV_positive,30.873059467918623,0.15,56.2958,False
tfr1_l50_s546651_mpnn14,6WRV_positive,30.954029499217533,0.14,61.4092,False
tfr1_l50_s546651_mpnn15,6WRV_positive,30.933694522691702,0.14,60.91440000000001,False
tfr1_l50_s546651_mpnn16,6WRV_positive,30.854185524256657,0.14,53.928599999999996,False
tfr1_l50_s546651_mpnn17,6WRV_positive,30.78969687010954,0.14,57.681999999999995,False
tfr1_l50_s546651_mpnn3,6WRV_positive,30.837798591549298,0.14,54.9272,False
tfr1_l50_s546651_mpnn5,6WRV_positive,30.804024804381847,0.14,57.3324,False
tfr1_l50_s546651_mpnn6,6WRV_positive,30.876732785602506,0.14,55.04559999999999,False
tfr1_l50_s580437_mpnn11,6WRV_positive,30.91915046948357,0.15,53.5012,False
tfr1_l50_s580437_mpnn1,6WRV_positive,30.963655868544603,0.14,54.2064,False
tfr1_l50_s763671_mpnn10,6WRV_positive,30.8809103286385,0.14,58.0154,False
tfr1_l50_s763671_mpnn16,6WRV_positive,30.851381455399064,0.15,60.412400000000005,False
tfr1_l50_s763671_mpnn19,6WRV_positive,30.85183106416275,0.15,59.897600000000004,False
tfr1_l50_s763671_mpnn2,6WRV_positive,30.892480751173707,0.14,55.8024,False
tfr1_l50_s763671_mpnn3,6WRV_positive,30.866325508607197,0.15,59.1894,False
tfr1_l50_s763671_mpnn4,6WRV_positive,30.860696791862285,0.15,60.4072,False
tfr1_l50_s763671_mpnn5,6WRV_positive,30.899242175273862,0.14,57.0872,False
tfr1_l50_s763671_mpnn7,6WRV_positive,30.89142824726134,0.15,58.602799999999995,False
tfr1_l50_s763671_mpnn8,6WRV_positive,30.89731956181534,0.15,56.33,False
tfr1_l50_s769803_mpnn10,6WRV_positive,30.895844835680755,0.14,64.1584,False
tfr1_l50_s769803_mpnn4,6WRV_positive,30.90146384976526,0.14,64.22180000000002,False
tfr1_l50_s769803_mpnn6,6WRV_positive,30.86482339593115,0.14,61.35679999999999,False
tfr1_l50_s769803_mpnn7,6WRV_positive,30.8619886541471,0.14,64.5396,False
tfr1_l51_s105102_mpnn10,6WRV_positive,30.727048467274237,0.15,68.6678431372549,False
tfr1_l51_s105102_mpnn11,6WRV_positive,30.63660169075455,0.15,65.77980392156864,False
tfr1_l51_s105102_mpnn12,6WRV_positive,30.663201156832063,0.15,66.74686274509804,False
tfr1_l51_s105102_mpnn13,6WRV_positive,30.674503436742462,0.15,65.92509803921568,False
tfr1_l51_s105102_mpnn14,6WRV_positive,30.77692680045414,0.15,68.17117647058822,False
tfr1_l51_s105102_mpnn16,6WRV_positive,30.553092991500197,0.15,65.72156862745098,False
tfr1_l51_s105102_mpnn17,6WRV_positive,30.670558010371597,0.15,63.81941176470588,False
tfr1_l51_s105102_mpnn18,6WRV_positive,30.65626867961582,0.15,65.28764705882354,False
tfr1_l51_s105102_mpnn1,6WRV_positive,30.73073782564669,0.15,65.92000000000002,False
tfr1_l51_s105102_mpnn20,6WRV_positive,30.72655412869374,0.15,64.60235294117646,False
tfr1_l51_s105102_mpnn2,6WRV_positive,30.719585826505874,0.15,67.94078431372549,False
tfr1_l51_s105102_mpnn3,6WRV_positive,30.715467412317036,0.15,65.4813725490196,False
tfr1_l51_s105102_mpnn4,6WRV_positive,30.777528613949496,0.15,67.27666666666667,False
tfr1_l51_s105102_mpnn5,6WRV_positive,30.641956718524654,0.15,67.05843137254901,False
tfr1_l51_s105102_mpnn6,6WRV_positive,30.68668431065697,0.15,64.77607843137255,False
tfr1_l51_s105102_mpnn8,6WRV_positive,30.67305977477063,0.15,66.90117647058823,False
tfr1_l51_s105102_mpnn9,6WRV_positive,30.799387369971463,0.15,68.25666666666667,False
tfr1_l51_s255454_mpnn13,6WRV_positive,30.99839255577035,0.15,44.53156862745098,False
tfr1_l51_s255454_mpnn1,6WRV_positive,31.05729517628648,0.14,39.91274509803922,False
tfr1_l51_s255454_mpnn5,6WRV_positive,30.85979341188745,0.14,59.296470588235294,False
tfr1_l51_s694877_mpnn12,6WRV_positive,30.406501503574827,0.16,59.16,False
tfr1_l51_s694877_mpnn13,6WRV_positive,30.814556061861364,0.15,60.4264705882353,False
